Key,English(en),French(fr),German(de),Hindi(hi),Italian(it),Polish(pl),Russian(ru),Spanish(es),Ukrainian(uk),Turkish(tr)
title.oracle,ORACLE,ORACLE,ORAKEL,ओरेकल,ORACOLO,WYROCZNIA,ОРАКУЛ,ORÁCULO,ОРАКУЛ,KAHİN
title.oracle.mystic,DIVINE,DIVIN,GÖTTLICH,दिव्य,DIVINO,BOSKI,БОЖЕСТВЕННЫЙ,DIVINO,БОЖЕСТВЕННИЙ,İLAHİ
title.oracle.business,CEO,PDG,CEO,सीईओ,CEO,CEO,ГЕНДИРЕКТОР,CEO,ГЕНДИРЕКТОР,CEO
title.oracle.tech,SUPERUSER,SUPER-UTILISATEUR,SUPERUSER,सुपरयूज़र,SUPERUTENTE,SUPERUŻYTKOWNIK,СУПЕРПОЛЬЗОВАТЕЛЬ,SUPERUSUARIO,СУПЕРКОРИСТУВАЧ,SÜPER KULLANICI
title.oracle.casual,GOD_MODE,MODE DIEU,GOD MODE,गॉड मोड,MODALITÀ DIO,TRYB BOGA,РЕЖИМ БОГА,MODO DIOS,РЕЖИМ БОГА,TANRI MODU
msg.syncing,SYNCHRONIZING...,SYNCHRONISATION...,SYNCHRONISIERUNG...,सिंक्रोनाइज़ हो रहा है...,SINCRONIZZAZIONE...,SYNCHRONIZACJA...,СИНХРОНИЗАЦИЯ...,SINCRONIZANDO...,СИНХРОНІЗАЦІЯ...,SENKRONİZE EDİLİYOR...
msg.syncing.mystic,ALIGNING LEY LINES...,ALIGNEMENT DES LIGNES LEY...,AUSRICHTUNG DER LEY-LINIEN...,ले लाइनों को संरेखित करना...,ALLINEAMENTO LINEE LEY...,WYRÓWNYWANIE LINII MOCY...,ВЫРАВНИВАНИЕ ЛИНИЙ ЛЕЙ...,ALINEANDO LÍNEAS LEY...,ВИРІВНЮВАННЯ ЛІНІЙ ЛЕЙ...,LEY HATLARI HİZALANIYOR...
msg.syncing.business,CONNECTING TO DATABASE...,CONNEXION À LA BASE DE DONNÉES...,DATENBANKVERBINDUNG...,डेटाबेस से जुड़ रहा है...,CONNESSIONE AL DATABASE...,ŁĄCZENIE Z BAZĄ DANYCH...,ПОДКЛЮЧЕНИЕ К БАЗЕ ДАННЫХ...,CONECTANDO A LA BASE DE DATOS...,ПІДКЛЮЧЕННЯ ДО БАЗИ ДАНИХ...,VERİTABANINA BAĞLANILIYOR...
msg.syncing.tech,SYNCING REPO...,SYNC DU REPO...,SYNC REPOSITORY...,रेपो सिंक हो रहा है...,SINCRONIZZAZIONE REPO...,SYNCHRONIZACJA REPO...,СИНХРОНИЗАЦИЯ РЕПО...,SINCRONIZANDO REPO...,СИНХРОНІЗАЦІЯ РЕПО...,REPO SENKRONİZE EDİLİYOR...
msg.syncing.casual,DOWNLOADING BRAIN...,CHARGEMENT DU CERVEAU...,HIRN-DOWNLOAD...,मस्तिष्क डाउनलोड हो रहा है...,DOWNLOAD CERVELLO...,POBIERANIE MÓZGU...,ЗАГРУЗКА МОЗГА...,DESCARGANDO CEREBRO...,ЗАВАНТАЖЕННЯ МІЗКІВ...,BEYİN İNDİRİLİYOR...
msg.transcending,TRANSCENDING,TRANSCENDANCE,TRANZENDENZ,परे जाना,TRASCENDENZA,TRANSCENDENCJA,ТРАНСЦЕНДЕНТНОСТЬ,TRASCENDENCIA,ТРАНСЦЕНДЕНТНІСТЬ,ÜSTÜNLÜK
msg.transcending.mystic,ASCENDING,ASCENSION,AUFSTIEG,आरोहण,ASCENSIONE,WSTĘPOWANIE,ВОСХОЖДЕНИЕ,ASCENDIENDO,ВОСХОДЖЕННЯ,YÜKSELİŞ
msg.transcending.business,PROMOTED,PROMU,BEFÖRDERT,पदोन्नत,PROMOSSO,AWANSOWANY,ПОВЫШЕН,PROMOVIDO,ПІДВИЩЕНО,TERFİ EDİLDİ
msg.transcending.tech,EVOLVING,ÉVOLUTION,EVOLUTION,विकसित हो रहा है,EVOLUZIONE,EWOLUCJA,ЭВОЛЮЦИЯ,EVOLUCIONANDO,ЕВОЛЮЦІЯ,EVRİLİYOR
msg.transcending.casual,LEVELING UP,MONTÉE DE NIVEAU,LEVEL UP,स्तर बढ़ना,LIVELLO SU,AWANS NA POZIOM,ПОВЫШЕНИЕ УРОВНЯ,SUBIENDO DE NIVEL,ПІДНЯТТЯ РІВНЯ,SEVİYE ATLANIYOR
menu.header.mystic,NEXUS ORACLE,ORACLE NEXUS,NEXUS-ORAKEL,नेक्सस ओरेकल,ORACOLO NEXUS,WYROCZNIA NEXUS,ОРАКУЛ НЕКСУСА,ORÁCULO NEXUS,ОРАКУЛ НЕКСУСУ,NEXUS KAHİNİ
menu.header.business,EXECUTIVE MENU,MENU EXÉCUTIF,EXECUTIVE-MENÜ,कार्यकारी मेनू,MENU ESECUTIVO,MENU MENEDŻERSKIE,ИСПОЛНИТЕЛЬНОЕ МЕНЮ,MENÚ EJECUTIVO,ВИКОНАВЧЕ МЕНЮ,YÖNETİCİ MENÜSÜ
menu.header.tech,SYSTEM CONTROL,CONTRÔLE SYSTÈME,SYSTEMSTEUERUNG,सिस्टम कंट्रोल,CONTROLLO SISTEMA,KONTROLA SYSTEMU,УПРАВЛЕНИЕ СИСТЕМОЙ,CONTROL DE SISTEMA,УПРАВЛІННЯ СИСТЕМОЮ,SİSTEM KONTROLÜ
menu.profile.mystic,INNER SANCTUM,SANCTUAIRE INTÉRIEUR,INNERES SANKTUARIUM,आंतरिक गर्भगृह,SANTUARIO INTERIORE,WEWNĘTRZNE SANKTUARIUM,ВНУТРЕННЕЕ СВЯТИЛИЩЕ,SANTUARIO INTERIOR,ВНУТРІШНЄ СВЯТИЛИЩЕ,İÇ TAPINAK
menu.profile.business,PROFESSIONAL PROFILE,PROFIL PROFESSIONNEL,BERUFSPROFIL,पेशेवर प्रोफाइल,PROFILO PROFESSIONALE,PROFIL ZAWODOWY,ПРОФЕССИОНАЛЬНЫЙ ПРОФИЛЬ,PERFIL PROFESIONAL,ПРОФЕСІЙНИЙ ПРОФІЛЬ,PROFESYONEL PROFİL
menu.profile.tech,USER DATA,DONNÉES UTILISATEUR,BENUTZERDATEN,उपयोगकर्ता डेटा,DATI UTENTE,DANE UŻYTKOWNIKA,ДАННЫЕ ПОЛЬЗОВАТЕЛЯ,DATOS DE USUARIO,ДАНІ КОРИСТУВАЧА,KULLANICI VERİLERİ
menu.aura.mystic,AURA,AURA,AURA,आभा,AURA,AURA,АУРА,AURA,АУРА,AURA
menu.aura.business,CORE VALUES,VALEURS FONDAMENTALES,KERNWERTE,मूल मूल्य,VALORI CORE,WARTOŚCI KLUCZOWE,КЛЮЧЕВЫЕ ЦЕННОСТИ,VALORES FUNDAMENTALES,КЛЮЧОВІ ЦІННОСТІ,TEMEL DEĞERLER
menu.aura.tech,SPECTRUM CONFIG,CONFIG DU SPECTRE,SPEKTRUM-KONFIG,स्पेक्ट्रम कॉन्फिग,CONFIG SPETTRO,KONFIGURACJA WIDMA,КОНФИГ СПЕКТРА,CONFIG DE ESPECTRO,КОНФІГ СПЕКТРУ,SPEKTRUM YAPILANDIRMASI
menu.feed.mystic,LEY LINE VIBRATIONS,VIBRATIONS DES LIGNES LEY,LEY-LINIEN-VIBRATIONEN,ले लाइन कंपन,VIBRAZIONI LINEE LEY,WIBRACJE LINII MOCY,ВИБРАЦИИ ЛИНИЙ ЛЕЙ,VIBRACIONES DE LÍNEAS LEY,ВІБРАЦІЇ ЛІНІЙ ЛЕЙ,LEY HATTI TİTREŞİMLERİ
menu.feed.business,MARKET FEED,FLUX DU MARCHÉ,MARKT-FEED,मार्केट फीड,FEED DI MERCATO,WIEŚCI Z RYNKU,РЫНОЧНАЯ ЛЕНТА,FLUJO DE MERCADO,РИНКОВА СТРІЧКА,PAZAR AKIŞI
menu.feed.tech,SYSTEM LOGS,LOGS SYSTÈME,SYSTEMPROTOKOLLE,सिस्टम लॉग,LOG DI SISTEMA,LOGI SYSTEMOWE,СИСТЕМНЫЕ ЛОГИ,LOGS DE SISTEMA,СИСТЕМНІ ЛОГИ,SİSTEM GÜNLÜKLERİ
menu.vault.mystic,TREASURY OF TIME,TRÉSOR DU TEMPS,SCHATZKAMMER DER ZEIT,समय का खजाना,TESORO DEL TEMPO,SKARBIEC CZASU,СОКРОВИЩНИЦА ВРЕМЕНИ,TESORO DEL TIEMPO,СКАРБНИЦЯ ЧАСУ,ZAMAN HAZİNESİ
menu.vault.business,ASSET VAULT,COFFRE D'ACTIFS,ASSET-TRESOR,संपत्ति तिजोरी,CAVEAU DEGLI ASSET,SKARBIEC AKTYWÓW,ХРАНИЛИЩЕ АКТИВОВ,BÓVEDA DE ACTIVOS,СХОВИЩЕ АКТИВІВ,VARLIK MAHZENİ
menu.vault.tech,DATA STORAGE,STOCKAGE DE DONNÉES,DATENSPEICHER,डेटा स्टोरेज,ARCHIVIAZIONE DATI,PRZECHOWYWANIE DANYCH,ХРАНИЛИЩЕ ДАННЫХ,ALMACENAMIENTO DE DATOS,СХОВИЩЕ ДАНИХ,VERİ DEPOLAMA
radar.ready.mystic,GAZE INTO THE ETHER,REGARDER DANS L'ÉTHER,BLICK IN DEN ÄTHER,ईथर में देखें,SGUARDO NELL'ETERE,SPOJRZENIE W ETER,ВЗГЛЯД В ЭФИР,MIRADA AL ÉTER,ПОГЛЯД В ЕФІР,ETERE BAK
radar.ready.business,READY TO NETWORK,PRÊT POUR LE RÉSEAU,BEREIT ZUM NETZWERKEN,नेटवर्किंग के लिए तैयार,PRONTO PER IL NETWORKING,GOTOWY DO NETWORKINGU,ГОТОВ К НЕТВОРКИНГУ,LISTO PARA NETWORKING,ГОТОВИЙ ДО НЕТВОРКІНГУ,AĞ KURMAYA HAZIR
radar.ready.tech,SCANNING FREQUENCIES,BALAYAGE DES FRÉQUENCES,FREQUENZEN SCANNEN,आवृत्तियों को स्कैन करना,SCANSIONE FREQUENZE,SKANOWANIE CZĘSTOTLIWOŚCI,СКАНИРОВАНИЕ ЧАСТОТ,ESCANEO DE FRECUENCIAS,СКАНУВАННЯ ЧАСТОТ,FREKANSLAR TARANIYOR
radar.searching.mystic,SEEKING DESTINED ECHOES...,RECHERCHE D'ÉCHOS DESTINÉS...,SUCHE NACH BESTIMMTEN ECHOES...,भाग्यशाली गूँज की तलाश...,RICERCA ECHI DESTINATI...,POSZUKIWANIE PRZEZNACZONYCH ECHO...,ПОИСК СУДЬБОНОСНЫХ ЭХО...,BUSCANDO ECOS DESTINADOS...,ПОШУК ДОЛЕНОСНИХ ЕХО...,KADER YANKILARI ARANIYOR...
radar.searching.business,SEARCHING FOR ASSETS...,RECHERCHE D'ACTIFS...,SUCHE NACH ASSETS...,संपत्ति की तलाश...,RICERCA DI ASSET...,POSZUKIWANIE AKTYWÓW...,ПОИСК АКТИВОВ...,BUSCANDO ACTIVOS...,ПОШУК АКТИВІВ...,VARLIKLAR ARANIYOR...
radar.searching.tech,PARSING SPECTRAL DATA...,ANALYSE DES DONNÉES SPECTRALES...,SPEKTRALDATEN PARSEN...,स्पेक्ट्रल डेटा पार्स करना...,PARSING DATI SPETTRALI...,PARSOWANIE DANYCH WIDMOWYCH...,ПАРСИНГ СПЕКТРАЛЬНЫХ ДАННЫХ...,PROCESANDO DATOS ESPECTRALES...,ПАРСИНГ СПЕКТРАЛЬНИХ ДАНИХ...,SPEKTRAL VERİLER AYRIŞTIRILIYOR...
radar.located.mystic,SYMMETRY MANIFESTED!,SYMÉTRIE MANIFESTÉE !,SYMMETRIE MANIFESTIERT!,समरूपता प्रकट हुई!,SIMMETRIA MANIFESTATA!,SYMETRIA MANIFESTOWANA!,СИММЕТРИЯ ПРОЯВЛЕНА!,¡SIMETRÍA MANIFESTADA!,СИМЕТРІЯ ПРОЯВЛЕНА!,SİMETRİ TEZAHÜR ETTİ!
radar.located.business,TARGET ACQUIRED!,CIBLE ACQUISE !,ZIEL ERFASST!,लक्ष्य प्राप्त हुआ!,TARGET ACQUISITO!,CEL OSIĄGNIĘTY!,ЦЕЛЬ ОБНАРУЖЕНА!,¡OBJETIVO ADQUIRIDO!,ЦІЛЬ ВИЯВЛЕНО!,HEDEF BELİRLENDİ!
radar.located.tech,NODES CONNECTED!,NOEUDS CONNECTÉS !,KNOTEN VERBUNDEN!,नोड्स जुड़े हुए हैं!,NODI CONNESSI!,WĘZŁY POŁĄCZONE!,УЗЛЫ ПОДКЛЮЧЕНЫ!,¡NODOS CONECTADOS!,ВУЗЛИ ПІДКЛЮЧЕНО!,DÜĞÜMLER BAĞLANDI!
feed.btn.resonate.mystic,CHANNEL ✨,CANALISER ✨,KANALISIEREN ✨,चैनल ✨,CANALIZZA ✨,KANALIZUJ ✨,КАНАЛИЗИРОВАТЬ ✨,CANALIZAR ✨,КАНАЛІЗУВАТИ ✨,KANALİZE ET ✨
feed.btn.resonate.business,ENDORSE 🤝,APPROUVER 🤝,EMPFEHLEN 🤝,समर्थन 🤝,APPROVA 🤝,POPRZYJ 🤝,ПОДДЕРЖАТЬ 🤝,RECOMENDAR 🤝,ПІДТРИМАТИ 🤝,ONAYLA 🤝
feed.btn.resonate.tech,LINK 🔗,LIER 🔗,VERLINKEN 🔗,लिंक 🔗,COLLEGA 🔗,POŁĄCZ 🔗,СВЯЗАТЬ 🔗,VINCULAR 🔗,ПОВ'ЯЗАТИ 🔗,BAĞLA 🔗
feed.btn.resonate.casual,LIKE ❤️,AIMER ❤️,LIKE ❤️,पसंद ❤️,MI PIACE ❤️,LUBIĘ ❤️,ЛАЙК ❤️,ME GUSTA ❤️,ЛАЙК ❤️,BEĞEN ❤️
feed.btn.resonating.mystic,CHANNELED ✦,CANALISÉ ✦,GEKANALISIERT ✦,चैनल किया गया ✦,CANALIZZATO ✦,SKANALIZOWANO ✦,КАНАЛИЗИРОВАНО ✦,CANALIZADO ✦,КАНАЛІЗОВАНО ✦,KANALİZE EDİLDİ ✦
feed.btn.resonating.business,ENDORSED ✦,APPROUVÉ ✦,EMPFOHLEN ✦,समर्थित ✦,APPROVATO ✦,POPARTO ✦,ПОДДЕРЖАНО ✦,RECOMENDADO ✦,ПІДТРИМАНО ✦,ONAYLANDI ✦
feed.btn.resonating.tech,LINKED ✦,LIÉ ✦,VERLINKT ✦,लिंक्ड ✦,COLLEGATO ✦,POŁĄCZONO ✦,СВЯЗАНО ✦,VINCULADO ✦,ПОВ'ЯЗАНО ✦,BAĞLANDI ✦
feed.btn.resonating.casual,LIKED ✦,AIMÉ ✦,GELIKED ✦,पसंद किया गया ✦,MI PIACE ✦,POLUBIONO ✦,ЛАЙКНУТО ✦,ME GUSTA ✦,ЛАЙКНУТО ✦,BEĞENİLDİ ✦
feed.lbl.vector.mystic,Vector: {0} Soul/hr,Vecteur : {0} Âme/h,Vektor: {0} Seele/Std,वेक्टर: {0} आत्मा/घंटा,Vettore: {0} Anima/ora,Wektor: {0} Dusza/h,Вектор: {0} Душ/час,Vector: {0} Alma/h,Вектор: {0} Душ/год,Vektör: {0} Ruh/saat
feed.lbl.vector.business,Output: {0} Asset/hr,Production : {0} Actif/h,Output: {0} Asset/Std,आउटपुट: {0} संपत्ति/घंटा,Output: {0} Asset/ora,Wynik: {0} Aktywa/h,Выход: {0} Активов/час,Producción: {0} Activo/h,Вихід: {0} Активів/год,Çıktı: {0} Varlık/saat
feed.lbl.vector.tech,Throughput: {0} Op/sec,Débit : {0} Op/sec,Durchsatz: {0} Op/Sek,थ्रूपुट: {0} ऑप/सेकंड,Throughput: {0} Op/sec,Przepustowość: {0} Op/sek,Пропускная способность: {0} Оп/сек,Rendimiento: {0} Op/seg,Пропускна здатність: {0} Оп/сек,Verim: {0} Op/sn
feed.lbl.transforms.mystic,Essence,Essence,Essenz,तत्व,Essenza,Esencja,Эссенция,Esencia,Есенція,Öz
feed.lbl.transforms.business,Revenue,Revenu,Einnahmen,राजस्व,Ricavo,Przychód,Доход,Ingresos,Дохід,Gelir
feed.lbl.transforms.tech,Cycles,Cycles,Zyklen,चक्र,Cicli,Cykle,Циклы,Ciclos,Цикли,Döngüler
symmetry.hold_hint,HOLD TO ALIGN,TENIR POUR ALIGNER,HALTEN ZUM AUSRICHTEN,संरेखित करने के लिए दबाए रखें,TIENI PER ALLINEARE,"PRZYTRZYMAJ, ABY WYRÓWNAĆ",УДЕРЖИВАЙТЕ ДЛЯ ВЫРАВНИВАНИЯ,MANTENER PARA ALINEAR,УТРИМУЙТЕ ДЛЯ ВИРІВНЮВАННЯ,HİZALAMAK İÇİN BASILI TUTUN
symmetry.hold_hint.mystic,MERGE YOUR SPIRIT,FUSIONNEZ VOTRE ESPRIT,VERSCHMELZE DEINEN GEIST,अपनी आत्मा को विलीन करें,FONDETE IL VOSTRO SPIRITO,POŁĄCZ SWOJEGO DUCHA,СЛЕЙТЕСЬ ДУХОМ,FUSIONA TU ESPÍRITU,ЗЛИЙТЕСЯ ДУХОМ,RUHUNUZU BİRLEŞTİRİN
symmetry.hold_hint.business,HOLD TO CONFIRM PARTNERSHIP,TENIR POUR CONFIRMER LE PARTENARIAT,HALTEN ZUM BESTÄTIGEN DER PARTNERSCHAFT,साझेदारी की पुष्टि करने के लिए दबाए रखें,TIENI PER CONFERMARE LA PARTNERSHIP,"PRZYTRZYMAJ, ABY POTWIERDZIĆ PARTNERSTWO",УДЕРЖИВАЙТЕ ДЛЯ ПОДТВЕРЖДЕНИЯ ПАРТНЕРСТВА,MANTENER PARA CONFIRMAR ALIANZA,УТРИМУЙТЕ ДЛЯ ПІДТВЕРДЖЕННЯ ПАРТНЕРСТВА,ORTAKLIĞI ONAYLAMAK İÇİN BASILI TUTUN
symmetry.hold_hint.tech,MAINTAIN UPLINK,MAINTENIR LA LIAISON MONTANTE,UPLINK AUFRECHTERHALTEN,अपलिंक बनाए रखें,MANTIENI UPLINK,UTRZYMAJ POŁĄCZENIE,ПОДДЕРЖИВАЙТЕ СВЯЗЬ,MANTENER UPLINK,ПІДТРИМУЙТЕ ЗВ’ЯЗОК,BAĞLANTIYI KORU
oracle.wisdom_header,ORACLE WISDOM,SAGESSE DE L'ORACLE,ORAKEL-WEISHEIT,ओरेकल ज्ञान,SAGGEZZA DELL'ORACOLO,MĄDROŚĆ WYROCZNI,МУДРОСТЬ ОРАКУЛА,SABIDURÍA DEL ORÁCULO,МУДРІСТЬ ОРАКУЛА,KAHİN BİLGELİĞİ
oracle.wisdom_header.mystic,ETHEREAL WHISPERS,MUMURES ÉTHÉRÉS,ÄTHERISCHES FLÜSTERN,अलौकिक कानाफूसी,SUSSURRI ETEREI,ETERYCZNE SZEPTY,ЭФИРНЫЙ ШЕПОТ,SUSURROS ETÉREOS,ЕФІРНИЙ ШЕПІТ,ETERİK FISILTILAR
oracle.wisdom_header.business,EXECUTIVE INSIGHTS,APERÇUS EXÉCUTIFS,EXECUTIVE INSIGHTS,कार्यकारी अंतर्दृष्टि,APPROFONDIMENTI ESECUTIVI,WGLĄD MENEDŻERSKI,ИСПОЛНИТЕЛЬНЫЕ ИНСАЙТЫ,PERSPECTIVAS EJECUTIVAS,ВИКОНАВЧІ ІНСАЙТИ,YÖNETİCİ GÖRÜŞLERİ
oracle.wisdom_header.tech,CORE ANALYSIS,ANALYSE DE CŒUR,KERNANALYSE,कोर विश्लेषण,ANALISI CORE,ANALIZA RDZENIA,АНАЛИЗ ЯДРА,ANÁLISIS DE NUCLEO,АНАЛІЗ ЯДРА,ÇEKİRDEK ANALİZ
msg.oracle_err_turbulent,The cosmic flows are turbulent. Try again later.,Les flux cosmiques sont turbulents. Réessayez plus tard.,Die kosmischen Ströme sind turbulent. Versuche es später noch einmal.,ब्रह्मांडीय प्रवाह अशांत है। बाद में पुन: प्रयास करें।,I flussi cosmici sono turbolenti. Riprova più tardi.,Kosmiczne przepływy są niespokojne. Spróbuj później.,Космические потоки турбулентны. Попробуйте позже.,Los flujos cósmicos son turbulentos. Intenta más tarde.,Космічні потоки турбулентні. Спробуйте пізніше.,Kozmik akışlar çalkantılı. Daha sonra tekrar deneyin.
msg.oracle_err_turbulent.mystic,The stars are veiled in shadow. Reconnect when the currents clear.,Les étoiles sont voilées d'ombre. Reconnectez-vous quand les courants s'éclaircissent.,"Die Sterne sind in Schatten gehüllt. Verbinde dich erneut, wenn die Strömungen klar sind.",सितारे छाया में छिपे हैं। धाराएँ साफ होने पर पुन: कनेक्ट करें।,Le stelle sono velate d'ombra. Riconnettiti quando le correnti si schiariscono.,"Gwiazdy są spowite cieniem. Połącz się ponownie, gdy prądy się oczyszczą.","Звезды окутаны тенью. Подключитесь снова, когда потоки прояснятся.",Las estrellas están veladas en sombras. Reconecta cuando las corrientes se aclaren.,"Зірки оповиті тінню. Підключіться знову, коли потоки проясняться.",Yıldızlar gölgeye bürünmüş. Akıntılar durulduğunda tekrar bağlanın.
msg.oracle_err_turbulent.business,Network connection unstable. Please re-initiate consultation later.,Connexion réseau instable. Veuillez réinitialiser la consultation plus tard.,Netzwerkverbindung instabil. Bitte Beratungsgespräch später erneut einleiten.,नेटवर्क कनेक्शन अस्थिर। कृपया बाद में परामर्श फिर से शुरू करें।,Connessione instabile. Riavvia la consultazione più tardi.,Połączenie sieciowe niestabilne. Proszę wznowić konsultację później.,"Сетевое соединение нестабильно. Пожалуйста, возобновите консультацию позже.",Conexión inestable. Reinicia la consulta más tarde.,"Мережеве з'єднання нестабільне. Будь ласка, відновіть консультацію пізніше.",Ağ bağlantısı kararsız. Lütfen danışmanlığı daha sonra tekrar başlatın.
msg.oracle_err_turbulent.tech,Packet loss detected in the Aether. Retrying handshake failed. Try later.,Perte de paquets détectée dans l'Éther. Échec de la poignée de main. Réessayez plus tard.,Paketverlust im Äther festgestellt. Handshake fehlgeschlagen. Später versuchen.,ईथर में पैकेट हानि का पता चला। हैंडशेक विफल। बाद में प्रयास करें।,Rilevata perdita di pacchetti nell'Etere. Handshake fallito. Riprova.,Wykryto utratę pakietów w Eterze. Handshake nieudany. Spróbuj później.,Обнаружена потеря пакетов в Эфире. Ошибка рукопожатия. Повторите позже.,Pérdida de paquetes detectada. Error de protocolo. Intenta más tarde.,Виявлено втрату пакетів в Ефірі. Помилка рукостискання. Спробуйте пізніше.,Aether'da paket kaybı saptandı. Protokol hatası. Daha sonra deneyin.
lbl.vision,VISION,VISION,SICHT,दृष्टि,VISIONE,WIZJA,ЗРЕНИЕ,VISIÓN,ЗІР,VİZYON
oracle.sanctuary,ORACLE SANCTUARY,SANCTUAIRE DE L'ORACLE,ORAKEL-HEILIGTUM,ओरेकल अभयारण्य,SANTUARIO DELL'ORACOLO,SANKTUARIUM WYROCZNI,СВЯТИЛИЩЕ ОРАКУЛА,SANTUARIO DEL ORÁCULO,СВЯТИЛИЩЕ ОРАКУЛА,KAHİN TAPINAĞI
btn.exit_silence,EXIT SILENCE,QUITTER LE SILENCE,STILLE VERLASSEN,मौन से बाहर निकलें,ESCI DAL SILENZIO,OPUŚĆ CISZĘ,ВЫЙТИ ИЗ ТИШИНЫ,SALIR DEL SILENCIO,ВИЙТИ З ТИШІ,SESSİZLİKTEN ÇIK
msg.err_silence_absolute,The silence is absolute today. Try again later.,Le silence est absolu aujourd'hui. Réessayez plus tard.,Die Stille ist heute absolut. Versuche es später noch einmal.,आज सन्नाटा छाया हुआ है। बाद में पुन: प्रयास करें।,Il silenzio è assoluto oggi. Riprova più tardi.,Cisza jest dzisiaj absolutna. Spróbuj później.,Сегодня тишина абсолютна. Попробуйте позже.,El silencio es absoluto hoy. Intenta más tarde.,Сьогодні тиша абсолютна. Спробуйте пізніше.,Bugün sessizlik hakim. Daha sonra tekrar deneyin.
init.persona_question,Choose your resonance style.,Choisissez votre style de résonance.,Wähle deinen Resonanzstil.,अपनी प्रतिध्वनि शैली चुनें।,Scegli il tuo stile di risonanza.,Wybierz styl rezonansu.,Выберите стиль резонанса.,Elige tu estilo de resonancia.,Оберіть стиль резонансу.,Rezonans stilinizi seçin.
init.persona_question.mystic,Which path does your soul whisper?,Quel chemin votre âme murmure-t-elle ?,Welchen Weg flüstert deine Seele?,आपकी आत्मा किस पथ की फुसफुसाहट करती है?,Quale sentiero sussurra la tua anima?,Którą ścieżkę szepcze twoja dusza?,Какой путь шепчет ваша душа?,¿Qué camino susurra tu alma?,Який шлях шепоче ваша душа?,Ruhunuz hangi yolu fısıldıyor?
init.persona_question.business,Select your professional communication tone.,Sélectionnez votre ton de communication professionnel.,Wählen Sie Ihren professionellen Kommunikationston.,अपना पेशेवर संचार टोन चुनें।,Seleziona il tuo tono di comunicazione professionale.,Wybierz swój profesjonalny ton komunikacji.,Выберите свой профессиональный тон общения.,Selecciona tu tono de comunicación profesional.,Оберіть свій професійний тон спілкування.,Profesyonel iletişim tonunuzu seçin.
init.persona_question.tech,Configure interaction protocol.,Configurer le protocole d'interaction.,Interaktionsprotokoll konfigurieren.,इंटरैक्शन प्रोटोकॉल कॉन्फ़िगर करें।,Configura il protocollo di interazione.,Skonfiguruj protokół interakcji.,Настройте протокол взаимодействия.,Configurar protocolo de interacción.,Налаштуйте протокол взаємодії.,Etkileşim protokolünü yapılandırın.
init.persona_question.casual,How should we talk?,Comment devrions-nous parler ?,Wie sollen wir reden?,हमें कैसे बात करनी चाहिए?,Come dovremmo parlare?,Jak powinniśmy rozmawiać?,Как нам общаться?,¿Cómo deberíamos hablar?,Як нам спілкуватися?,Nasıl konuşmalıyız?
oracle.persona_confirmed,Persona updated.,Persona mise à jour.,Persona aktualisiert.,पर्सोना अपडेट किया गया।,Persona aggiornata.,Persona zaktualizowana.,Персона обновлена.,Persona actualizada.,Персону оновлено.,Persona güncellendi.
oracle.persona_confirmed.mystic,Your vibration has been realigned.,Votre vibration a été réalignée.,Deine Schwingung wurde neu ausgerichtet.,आपकी कंपन को फिर से संरेखित किया गया है।,La tua vibrazione è stata riallineata.,Twoja wibracja została wyrównana.,Ваша вибрация была перенастроена.,Tu vibración ha sido realineada.,Вашу вібрацію було переналаштовано.,Titreşiminiz yeniden hizalandı.
oracle.persona_confirmed.business,Profile settings successfully synchronized.,Paramètres du profil synchronisés avec succès.,Profileinstellungen erfolgreich synchronisiert.,प्रोफ़ाइल सेटिंग्स सफलतापूर्वक सिंक्रनाइज़ की गईं।,Impostazioni del profilo sincronizzate con successo.,Ustawienia profilu pomyślnie zsynchronizowane.,Настройки профиля успешно синхронизированы.,Ajustes de perfil sincronizados con éxito.,Налаштування профілю успішно синхронізовано.,Profil ayarları başarıyla senkronize edildi.
oracle.persona_confirmed.tech,Interface protocol updated.,Protocole d'interface mis à jour.,Schnittstellenprotokoll aktualisiert.,इंटरफेस प्रोटोकॉल अपडेट किया गया।,Protocollo di interfaccia aggiornato.,Protokół interfejsu zaktualizowany.,Протокол интерфейса обновлен.,Protocolo de interfaz actualizado.,Протокол інтерфейсу оновлено.,Arayüz protokolü güncellendi.
oracle.persona_confirmed.casual,Got it! Switching styles now.,Compris ! Je change de style maintenant.,Verstanden! Wechsle jetzt den Stil.,समझ गया! अब स्टाइल बदल रहा हूँ।,Ricevuto! Cambio stile ora.,Jasne! Zmieniam styl.,Понял! Мені стиль.,¡Entendido! Cambiando estilo.,Зрозумів! Змінюю стиль.,Anlaşıldı! Stiller değiştiriliyor.
oracle.scale_intro,The Eye perceives all.,L'Oeil perçoit tout.,Das Auge nimmt alles wahr.,आंख सब कुछ देखती है।,L'Occhio percepisce tutto.,Oko postrzega wszystko.,Око видит всё.,El Ojo lo percibe todo.,Око бачить усе.,Göz her şeyi algılar.
oracle.scale_intro.mystic,Step into the stream of causality.,Entrez dans le flux de la causalité.,Tritt in den Strom der Kausalität.,कारणता की धारा में कदम रखें।,Entra nel flusso della causalità.,Wejdź w strumień przyczynowości.,Шагните в поток причинно-следственных связей.,Entra en el flujo de la causalidad.,Крокніть у потік причинно-наслідкових зв'язків.,Nedensellik akışına adım atın.
